"from_institution_id","to_institution_id","work_count","period","status","source"
"I97018004","I204250578","30","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I204250578","30","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I204250578","28","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I1306409833","28","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I154570441","28","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I154570441","27","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I103635307","27","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I1282311441","27","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I154570441","25","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I204250578","24","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
